N-Threads, Performance
2,219.76
3,535.90
4,690.90
5,454.38
6,416.55
7,390.20
8,408.24
9,569.39
10,719.26
11,693.16
12,584.07
13,704.13
14,884.81
15,863.49
16,1010.44
17,844.77
18,900.18
19,1069.63
20,1084.61
21,974.53
22,1015.23
23,942.84
24,981.38
25,1294.51
26,1230.26
27,1404.40
28,1730.17
29,2291.13
30,1554.04
31,1622.08
32,1680.31
33,1710.86
34,1873.25
35,1606.19
36,1806.45
37,2626.85
38,2001.88
39,1811.81
40,1648.69
41,1694.34
42,1776.53
43,1784.24
44,1886.31
45,1853.36
46,1870.26
47,1959.08
48,1980.40
49,2076.64
50,2049.75
